1 20271667798.138550 5203237038.215501 8871917464.032232 16293081128.914539 
2 21872460040.454929 6787423640.511058 11023829359.563454 18665055431.852512 
3 24679292962.429813 8369478960.748005 10807410623.670183 21451630926.184120 
4 25575028043.818817 8879967394.184092 12159082907.635561 21296033990.065765 
5 22801034580.096298 10188594168.063852 13217346426.007202 21086999421.333973 
6 32816839263.380032 10973015645.061916 13181741482.028135 21127463800.170784 
7 31581354099.287201 11093248939.913351 13870928595.734173 21758991250.719368 
8 30082102658.098362 12536350211.060633 16640921326.830153 24973177369.694359 
9 31479770043.928520 13426889723.004879 17253750554.928894 24853385040.325058 
10 35473377600.850586 15498926021.979940 15297046992.516846 24994437168.817253 
